Grand Prix,Driver,Car,Time,year
South Africa,Nelson Piquet,Brabham BMW,1:09.948,1983.0
Brazil,Alain Prost,McLaren TAG,1:36.499,1984.0
South Africa,Patrick Tambay,Renault,1:08.877,1984.0
Belgium,Rene Arnoux,Ferrari,1:19.294,1984.0
San Marino,Nelson Piquet,Brabham BMW,1:33.275,1984.0
France,Alain Prost,McLaren TAG,1:05.257,1984.0
Monaco,Ayrton Senna,Toleman Hart,1:54.334,1984.0
Canada,Nelson Piquet,Brabham BMW,1:28.763,1984.0
Detroit,Derek Warwick,Renault,1:46.221,1984.0
Dallas,Niki Lauda,McLaren TAG,1:45.353,1984.0
Great Britain,Niki Lauda,McLaren TAG,1:13.191,1984.0
Germany,Alain Prost,McLaren TAG,1:53.538,1984.0
Austria,Niki Lauda,McLaren TAG,1:32.882,1984.0
Netherlands,Rene Arnoux,Ferrari,1:19.465,1984.0
Italy,Niki Lauda,McLaren TAG,1:31.912,1984.0
Europe,Nelson Piquet,Brabham BMW,1:23.146,1984.0
Portugal,Niki Lauda,McLaren TAG,1:22.996,1984.0
Brazil,Alain Prost,McLaren TAG,1:36.702,1985.0
Portugal,Ayrton Senna,Lotus Renault,1:44.121,1985.0
San Marino,Michele Alboreto,Ferrari,1:30.961,1985.0
Monaco,Michele Alboreto,Ferrari,1:22.637,1985.0
Canada,Ayrton Senna,Lotus Renault,1:27.445,1985.0
Detroit,Ayrton Senna,Lotus Renault,1:45.612,1985.0
France,Keke Rosberg,Williams Honda,1:39.914,1985.0
Great Britain,Alain Prost,McLaren TAG,1:09.886,1985.0
Germany,Niki Lauda,McLaren TAG,1:22.806,1985.0
Austria,Alain Prost,McLaren TAG,1:29.241,1985.0
Netherlands,Alain Prost,McLaren TAG,1:16.538,1985.0
Italy,Nigel Mansell,Williams Honda,1:28.283,1985.0
Belgium,Alain Prost,McLaren TAG,2:01.730,1985.0
Europe,Jacques Laffite,Ligier Renault,1:11.526,1985.0
South Africa,Keke Rosberg,Williams Honda,1:08.149,1985.0
Australia,Keke Rosberg,Williams Honda,1:23.758,1985.0
Brazil,Nelson Piquet,Williams Honda,1:33.546,1986.0
Spain,Nigel Mansell,Williams Honda,1:27.176,1986.0
San Marino,Nelson Piquet,Williams Honda,1:28.667,1986.0
Monaco,Alain Prost,McLaren TAG,1:26.607,1986.0
Belgium,Alain Prost,McLaren TAG,1:59.282,1986.0
Canada,Nelson Piquet,Williams Honda,1:25.443,1986.0
Detroit,Nelson Piquet,Williams Honda,1:41.233,1986.0
France,Nigel Mansell,Williams Honda,1:09.993,1986.0
Great Britain,Nigel Mansell,Williams Honda,1:09.593,1986.0
Germany,Gerhard Berger,Benetton BMW,1:46.604,1986.0
Hungary,Nelson Piquet,Williams Honda,1:31.001,1986.0
Austria,Gerhard Berger,Benetton BMW,1:29.444,1986.0
Italy,Teo Fabi,Benetton BMW,1:28.099,1986.0
Portugal,Nigel Mansell,Williams Honda,1:20.943,1986.0
Mexico,Nelson Piquet,Williams Honda,1:19.360,1986.0
Australia,Nelson Piquet,Williams Honda,1:20.787,1986.0
Brazil,Nelson Piquet,Williams Honda,1:33.861,1987.0
San Marino,Teo Fabi,Benetton Ford,1:29.246,1987.0
Belgium,Alain Prost,McLaren TAG,1:57.153,1987.0
